02/07/2012 at 16:21	2012-07-02T16:21
9/5/62	2062-09-05
7/12/1966	1966-07-12
28/8/2062	2062-08-28
3:55pm on 26.6.12	2012-06-26T15:55
29.8.62	2062-08-29
14/5/1998	1998-05-14
17/07/2012 at 18:14	2012-07-17T18:14
20/9/62	2062-09-20
previous	2064-05-27
6/9/2008	2008-09-06
25/07/2012 at 13:11	2012-07-25T13:11
28/9/62	2062-09-28
27/6/1989	1989-06-27
10/10/2062	2062-10-10
11/10/62	2062-10-11
11.10.62	2062-10-11
16/1/2001	2001-01-16
16/10/2062	2062-10-16
16/10/62	2062-10-16
19/8/2010	2010-08-19
29/10/2062	2062-10-29
30.10.62	2062-10-30
6.11.62	2062-11-06
5.11.62	2062-11-05
6/7/1999	1999-06-07
29/08/2012 at 18:33	2012-08-29T18:33
10.2.62	2062-10-02
10.3.2062	2062-10-03
17/9/2023	2023-09-17
26/09/2012 at 11:38	2012-09-26T11:38
29/11/62	2062-11-29
6/12/62	2062-12-06
18/2/2021	2021-02-18
19/2/2062	2062-02-19
19.2.62	2062-02-19
4/4/1994	1994-04-04
06/02/2013 at 11:50	2013-02-06T11:50
4/9/63	2063-04-09
6/8/2062	2062-08-06
3.8.62	2062-08-03
15/8/1999	1999-08-15
04/06/2012 at 11:52	2012-06-04T11:52
25.10.62	2062-10-25
8/7/62	2062-08-07
25.10.62	2062-10-25
14/10/2002	2002-10-14
6/8/2062	2062-08-06
3.30pm on 4/6/12	2012-06-04T15:30
7/8/62	2062-08-07
1/7/1979	1979-01-07
20/06/2012 at 11:39	2012-06-20T11:39
23/8/62	2062-08-23
5/11/2017	2017-11-05
11/07/2012 at 17:17	2012-07-11T17:17
26.9.62	2062-09-26
today	2062-09-13
14/9/62	2062-09-14
26.9.62	2062-09-26
4/5/1995	1995-04-05
18/07/2012 at 13:18	2012-07-18T13:18
21.9.62	2062-09-21
26.9.62	2062-09-26
25.9.62	2062-09-25
28/2/1977	1977-02-28
22/10/2062	2062-10-22
23.10.62	2062-10-23
16/7/1987	1987-07-16
23/10/2062	2062-10-23
2.55pm on 21/8/12	2012-08-21T14:55
24.10.62	2062-10-24
24/10/62	2062-10-24
8/9/2062	2062-09-08
6/9/62	2062-09-06
2/11/2022	2022-11-02
27/11/2062	2062-11-27
25/9/12 at 10am	2012-09-25T10:00
28/11/62	2062-11-28
24/12/62	2062-12-24
17/7/2004	2004-07-17
6/11/2063	2063-06-11
6/12/63	2063-06-12
28.6.63	2063-06-28
3/3/2029	2029-03-03
23/1/2062	2062-01-23
22/12/2062	2062-12-22
21/1/62	2062-01-21
20/2/62	2062-02-20
16/2/62	2062-02-16
19/2/62	2062-02-19
20/2/62	2062-02-20
21/2/62	2062-02-21
20/2/62	2062-02-20
28/11/62	2062-11-28
18/12/12 12:18 pm	2012-12-18T12:18
23.2.62	2062-02-23
21/2/62	2062-02-21
22/2/62	2062-02-22
13.3.63	2063-03-13
12/3/63	2063-03-12
11/1/2012	2012-11-01
13/03/2013 at 12:53	2013-03-13T12:53
16/5/63	2063-05-16
20.5.2063	2063-05-20
11/3/2041	2041-03-11
11/3/2041	2041-03-11
01/05/2013 at 16:43	2013-05-01T16:43
10.7.63	2063-07-10
May 2063	2063-05
4/7/63	2063-07-04
10.7.63	2063-07-10
7/7/2039	2039-07-07
15/8/2063	2063-08-15
13/8/63	2063-08-13
9.5.63	2063-09-05
23/7/1991	1991-07-23
30/4/2063	2063-04-30
20.5.63	2063-05-20
11.38am on 28/2/13	2013-02-28T11:38
3/5/63	2063-05-03
20/5/2063	2063-05-20
12/5/2008	2008-12-05
28/5/2063	2063-05-28
28/5/63	2063-05-28
4/7/1974	1974-07-04
14/9/2062	2062-09-14
15.9.62	2062-09-15
4/6/2063	2063-04-06
29.5.63	2063-05-29
19/10/2030	2030-10-19
23/07/2012 at 09:32	2012-07-23-T09:32
25/9/62	2062-09-25
9/3/62	2062-09-03
17/10/1992	1992-10-17
19/9/2063	2063-09-19
17/10/63	2063-10-17
20.9.63	2063-09-20
4:54pm on 17.07.13	2013-07-17T16:54
2057	2057
17/10/63	2063-10-17
09/08/13 6:20 pm	2013-08-09T18:20
27/9/2062	2062-09-27
25.9.62	2062-09-25
29/4/2017	2017-04-29
16/1/2062	2062-01-16
17.1.62	2062-01-17
14/2/62	2062-02-14
1/7/2002	2002-01-07
19/03/2013 at 15:58	2013-03-19T15:58
22/5/63	2063-05-22
30/5/63	2063-05-30
7/9/2005	2005-09-07
20/03/2013 at 14:29	2013-03-20T14:29
2061	2061
23/5/63	2063-05-23
22/8/1979	1979-08-22
16/04/2013 at 19:56	2013-04-16T19:56
19.6.63	2063-06-19
19.6.63	2063-06-19
25/6/63	2063-06-25
6/5/2064	2064-05-06
29.5.64	2064-05-29
5/6/64	2064-06-05
5/6/2064	2064-05-06
2062	2062
11.20am	2014-04-03T11:20
6/5/64	2064-06-05
2/11/2003	2003-11-02
23/7/2062	2062-07-23
11:15am on 21.5.12	2012-05-21T11:15
24.7.62	2062-07-24
1.7.62	2062-07-01
30.7.62	2062-07-30
8/9/2062	2062-09-08
8.8.62	2062-08-08
1/9/1977	1977-01-09
13/06/2012 at 15:02	2012-06-13T15:02
16.8.62	2062-08-16
6/4/1989	1989-04-06
27/06/2012 at 18:05	2012-06-27T18:05
30/8/62	2062-08-30
16/3/1999	1999-03-16
25/07/2012 at 16:43	2012-07-25T16:43
28.9.62	2062-09-28
5/9/1988	1988-09-05
23/1/2062	2062-01-23
24.1.62	2062-01-24
25/1/2062	2062-01-25
24/1/62	2062-01-24
23/11/1986	1986-11-23
20/03/2013 at 11:58	2013-03-20T11:58
23/5/63	2063-05-23
12/4/1979	1979-12-04
02/04/2013 at 08:56	2013-04-02T08:56
11.00am on 02.04.13	2013-04-02T11:00
5.6.63	2063-06-05
13/6/63	2063-06-13
1/9/2008	2008-09-01
3/7/2063	2063-07-03
5.8.63	2063-08-05
8.7.63	2063-08-07
today	2062-09-13
2060	2060
10:35 on 1/5/13	2013-05-01T10:35
4/7/63	2063-07-04
8.7.63	2063-08-07
5.8.2063	2063-08-05
19/7/2063	2063-07-19
22/7/2063	2063-07-22
23/7/2063	2063-07-23
6/9/1995	1995-06-09
17/7/2063	2063-07-17
18.7.63	2063-07-18
10/1/63	2063-10-01
4/11/1982	1982-04-11
24/7/2063	2063-07-24
15:25 on the 22/05/13	2013-05-22T15:25
25.7.63	2063-07-25
16.8.63	2063-08-16
26/7/2004	2004-07-26
3/9/2063	2063-09-03
11.9.63	2063-09-11
4.9.63	2063-09-04
11.9.63	2063-09-11
28/2/1998	1998-02-28
11/06/2013 at 11:11	2013-06-11T11:11
14.8.63	2063-08-14
12/11/2002	2002-11-12
29/05/2013 at 18:31	2013-05-29T18:31
6.8.63	2063-08-06
2.7.63	2063-07-02
6.8.63	2063-08-06
27/7/1999	1999-07-27
20/8/2063	2063-08-20
21/8/63	2063-08-21
16/8/2063	2063-08-16
15.8.63	2063-08-15
15/10/1996	1996-10-15
21/8/2063	2063-08-21
at 14:30 on 19/6/13	2013-06-19T14:30
22/8/63	2063-08-22
22/8/63	2063-08-22
22/3/1999	1999-03-22
12/2/2063	2063-02-12
13.2.63	2063-02-13
5/10/1980	1980-10-05
09/12/2013 at 13:47	2013-12-09T13:47
4/3/64	2064-03-04
2/12/63	2063-02-12
3/4/64	2064-03-04
24/12/13 4:06 pm	2013-12-24T16:06
22/2/2032	2032-02-22
1/7/2063	2063-01-07
2 years	P2Y
5th of November 2013 at 1:30pm	2013-11-05T13:30
1.8.63	2063-01-08
23/3/2010	2010-03-23
24/09/2013 at 13:22	2013-09-24T13:22
5/12/63	2063-12-05
2:45pm on the 24th of September 2013	2013-09-24T14:45
27.11.63	2063-11-27
3/12/63	2063-12-03
5/12/63	2063-12-05
3/4/2013	2013-03-04
25/11/2063	2063-11-25
26th of November	2063-11-26
16:07pm on the 23rd of September 2013	2013-09-23T16:07
26.11.63	2063-11-26
5/5/1999	1999-05-05
22/5/2063	2063-05-22
3/7/63	2063-07-03
23/5/63	2063-05-23
3/7/63	2063-07-03
10/04/13 1:49 pm	2013-04-10T13:49
25/5/1991	1991-05-25
16/03/2013 at 18:21	2013-03-16T18:21
5.1.63	2063-05-01
20.5.63	2063-05-20
21.5.2063	2063-05-21
5.1.63	2063-05-01
20/6/1997	1997-06-20
5/2/2063	2063-02-05
9:40am on the 3rd of December 2013	2013-12-03T09:40
6.2.63	2063-02-06
28/10/2015	2015-10-28
24/06/2013 at 09:19	2013-06-24T09:19
1:53pm on 24.06.13	2013-06-24T13:53
2:05pm on 24.06.13	2013-06-24T14:05
27.8.63	2063-08-27
10/6/1988	1988-06-10
6/8/2063	2063-08-06
4:25pm on 4/6/2013	2013-06-04T16:25
7.8.63	2063-08-07
15/1/2001	2001-01-15
12.37am on 07.08.13	2013-08-07T12:37
1.05pm on 07.08.13	2013-08-07T13:05
10.10.63	2063-10-10
20/9/2018	2018-09-20
29/10/2063	2063-10-29
15.05 on 27/8/13	2013-08-27T15:05
29/10/63	2063-10-29
2/10/63	2063-10-02
28/10/1985	1985-10-28
22/01/2013 at 14:28	2013-01-22T14:28
25.3.63	2063-03-25
13/4/63	2063-04-13
4/3/2063	2063-04-03
18/6/1989	1989-06-18
14/4/2063	2063-04-14
5.6.63	2063-06-05
27.4.63	2063-04-27
15/4/63	2063-04-15
5.6.63	2063-06-05
1/6/2034	2034-01-06
6/7/2062	2062-06-07
28.6.62	2062-06-28
6.12.62	2062-06-12
28.6.62	2062-06-28
13/7/1991	1991-07-13
16/1/2062	2062-01-16
17.1.62	2062-01-17
20/3/63	2063-03-20
19/3/2064	2064-03-19
18.3.64	2064-03-18
19/3/2064	2064-03-19
18.3.64	2064-03-18
28/10/1994	1994-10-28
18/3/2064	2064-03-18
19.3.64	2064-03-19
18/3/1991	1991-03-18
21/1/2063	2063-01-21
22/1/63	2063-01-22
23/3/64	2064-03-23
20/8/1994	1994-08-20
17.25 on 7/11/12	2012-11-07T17:25
17.45 on 7/11/12	2012-11-07T17:45
1/10/62	2062-01-10
23/3/2064	2064-03-23
24/3/2064	2064-03-24
15.1.2014 at 11:12am	2014-01-15T11:12
11:27am on the 14.1.2014	2014-01-14T11:27
18.3.64	2064-03-18
16/2/2007	2007-02-16
24/06/2013 at 10:58	2013-06-24T10:58
27/8/63	2063-08-27
24/12/1999	1999-12-24
21/03/2013 at 16:21	2013-03-21T16:21
24/5/63	2063-05-24
30/5/2008	2008-05-30
26/04/2013 at 12:23	2013-04-26T12:23
6/1/63	2063-06-01
7.4.2063	2063-07-04
12/2/2062	2062-02-12
9.2.62	2062-02-09
18/3/2063	2063-03-18
17/3/63	2063-03-17
3.3.2063	2063-03-03
17/1/2010	2010-01-17
27/11/2012 at 18:56	2012-11-27T18:56
30/1/62	2062-01-30
12/11/1985	1985-12-11
26/11/2012 at 08:14	2012-11-26T08:14
10am on 26/11/12	2012-11-26T10:00
29/1/62	2062-01-29
2/6/62	2062-02-06
10/3/2010	2010-10-03
9.12.63	2063-09-12
3.2.63	2063-03-02
2/5/62	2062-02-05
11.00am on 02.01.13	2013-01-02T11:00
12.55pm on 02.01.13	2013-01-02T12:55
3.5.63	2063-03-05
25.3.63	2063-03-25
3.2.63	2063-03-02
9.12.63	2063-09-12
24/8/2002	2002-08-24
21.8.63	2063-08-21
24/9/1996	1996-09-24
22/04/2013 at 13:42	2013-04-22T13:42
25/6/63	2063-06-25
22/8/2063	2063-08-22
19.8.63	2063-08-19
29/1/2062	2062-01-29
28.1.62	2062-01-28
previous	2064-05-27
13.4.2061	2061-04-13
23/7/1996	1996-07-23
24/04/2013 at 11:13	2013-04-24T11:13
28.6.63	2063-06-28
16/11/2004	2004-11-16
25.3.64	2064-03-25
15.1.2014 at 11:12am	2014-01-15T11:12
11:27 am on the 14.1.2014	2014-01-14T11:27
18.3.64	2064-03-18
25.3.64	2064-03-25
25/3/2064	2064-03-25
23.3.64	2064-03-23
29/9/1997	1997-09-29
20/01/2014 at 11:46	2014-01-20T11:46
23.3.64	2064-03-23
29/4/2015	2015-04-29
23/3/2064	2064-03-23
24/3/64	2064-03-24
27/4/1985	1985-04-27
20/01/2014 at 12:30	2014-01-20T12:30
54	54-15
54	54-15
1300 onthe 20th of January 2014	2014-01-20T13:00
23.3.64	2064-03-23
16/6/2021	2021-06-16
10.15 on 14.03.13	2013-03-14T10:15
10.15 on 14.03.13	2013-03-14T10:15
17.5.63	2063-05-17
6/4/1995	1995-06-04
22/01/2014 at 14:04	2014-01-22T14:04
2063	2063-14
April 2063	2063-04
25/3/64	2064-03-25
21/9/2063	2063-09-21
17.07.13 at 3:47pm	2013-07-17T15:47
20.9.63	2063-09-20
5/10/1989	1989-05-10
9.3.63	2063-09-03
5/7/2033	2033-07-05
22/10/2063	2063-10-22
23.10.63	2063-10-23
4:58pm on 20.8.13	2013-08-20T16:58
7/6/1987	1987-07-06
23/08/2013 at 16:03	2013-08-23T16:03
10.2.63	2063-10-02
28.10.63	2063-10-28
10.2.63	2063-10-02
2/3/2064	2064-03-02
26/3/64	2064-03-26
3/1/2011	2011-01-03
20/08/2013 at 11:13	2013-08-20T11:13
23/10/63	2063-10-23
2/10/2063	2063-10-02
22/11/63	2063-11-22
15/11/2063	2063-11-15
14.11.63	2063-11-14
17/9/1997	1997-09-17
25/12/2063	2063-12-25
12:40pm on 23.10.13	2013-10-23T12:40
26.12.63	2063-12-26
25/6/1983	1983-06-25
05/11/2013 at 12:43	2013-11-05T12:43
14.1.63	2063-01-14
8.1.63	2063-01-08
14.1.63	2063-01-14
25/12/2063	2063-12-25
16.12.63	2063-12-16
3/3/2064	2064-03-03
26.3.64	2064-03-26
13/7/1991	1991-07-13
16/1/2062	2062-01-16
17.1.62	2062-01-17
20/3/63	2063-03-20
/3/64	2064-03
11/9/2034	2034-11-09
29/01/2014 at 12:18	2014-01-29T12:18
2061	2061
3/1/64	2064-03-01
28/2/1992	1992-02-28
28/01/2014 at 19:48	2014-01-28T19:48
1/3/64	2064-03-01
3/12/2019	2019-12-03
23/3/2064	2064-03-23
0926hrs on 21.01.2014	2014-01-21T09:26
24.3.64	2064-03-24
13/4/2020	2020-04-13
15/01/2014at 13:48	2014-01-15T13:48
18/3/64	2064-03-18
24/3/1973	1973-03-24
08/01/2014 at 19:40	2014-01-08T19:40
11/3/64	2064-03-11
15/2/1995	1995-02-15
5/2/2063	2063-02-05
12:00pm	2063-02-05T12:00
4/3/64	2064-03-04
24/5/2000	2000-05-24
24/3/2064	2064-03-24
1:35pm on 22.01.14	2014-01-22T13:35
25.3.64	2064-03-25
12/6/1995	1995-12-06
28/01/2014 at 08:36	2014-01-28T08:36
28/1/14 at 12:17pm	2014-01-28T12:17
30/3/64	2064-03-30
12/10/1987	1987-10-12
29/01/2014 at 09:51	2014-01-29T09:51
2/3/64	2064-03-02
20/11/1995	1995-11-20
28/01/2014 at 16:27	2014-01-28T16:27
3/1/64	2064-03-01
18/1/2012	2012-01-18
23/01/2014 at 15:19	2014-01-23T15:19
18 months	P18M
3.3.64	2064-03-03
6.4.64	2064-06-04
26/6/2004	2004-06-26
18/12/2012 at 14:21	2012-12-18T14:21
21.2.62	2062-02-21
18/3/63	2063-03-18
10/5/1979	1979-10-05
4/7/2064	2064-04-07
4.8.64	2064-04-08
17/2/1994	1994-02-17
25/06/2012 at 19:22	2012-06-25T19:22
30.10.63	2063-10-30
28.8.62	2062-08-28
30.10.63	2063-10-30
21/9/2001	2001-09-21
19/06/2012 at 20:09	2012-06-19T20:09
22/8/62	2062-08-22
27/12/62	2062-12-27
25/5/1992	1992-05-25
27/8/2062	2062-08-27
30.10.63	2063-10-30
28/8/62	2062-08-28
30.10.63	2063-10-30
27/11/1988	1988-11-27
22/08/2012 at 16:35	2012-08-22T16:35
30.10.62	2062-10-30
25.10.62	2062-10-25
30.10.62	2062-10-30
18/2/1986	1986-02-18
03/09/2012 at 13:36	2012-09-03T13:36
11.6.62	2062-11-06
24/4/1987	1987-04-24
18/07/2012 at 10:29	2012-07-18T10:29
21.9.62	2062-09-21
10/7/1990	1990-07-10
04/11/2013 at 13:13	2013-11-04T13:13
13.4.64	2064-04-13
7/1/63	2063-01-07
8/1/63	2063-01-08
7/1/63	2063-01-07
13.4.64	2064-04-13
2/6/1988	1988-06-02
26/09/2012 at 12:10	2012-09-26T12:10
145pm on 26.09.12	2012-09-26T13:45
29.11.62	2062-11-29
15/6/2007	2007-06-15
20/02/2013 at 07:20	2013-02-20T07:20
30.4.63	2063-04-30
24.4.63	2063-04-24
27.4.2063	2063-04-27
30.4.63	2063-04-30
4/12/2062	2062-12-04
4:30pm on 26.9.12	2012-09-26T16:30
26.11.62	2062-11-26
7/3/2011	2011-07-03
8/8/2062	2062-08-08
9.18am on 6/6/12	2012-06-06T09:18
8/9/62	2062-08-09
8/10/1994	1994-08-10
15/1/2062	2062-01-15
13.8.63	2063-08-13
15:05pm on 13.11.12	2012-11-13T15:05
16.1.62	2062-01-16
13.8.63	2063-08-13
19/8/2027	2027-08-19
25.9.63	2063-09-25
16:45 on 12.12.12	2012-12-12T16:45
15.2.62	2062-02-15
25.9.63	2063-09-25
2/6/1980	1980-02-06
10/10/2062	2062-10-10
12.45pm on 8/8/12	2012-08-08T12:45
10/11/62	2062-10-11
3/11/1978	1978-11-03
19/12/2012 at 10:50	2012-12-19T10:50
12:40 on 19.12.12	2012-12-19T12:40
22.2.62	2062-02-22
25/3/64	2064-03-25
7/7/2000	2000-07-07
30/01/2013 at 11:41	2013-01-30T11:41
2062	2062
3.3.63	2063-03-03
7/7/2000	2000-07-07
14/01/2013 at 12:46	2013-01-14T12:46
14/1/13 at 1515hr	2013-01-14T15:15
17/3/63	2063-03-17
21/11/1090	1090-11-21
18/02/2013 at 09:44	2013-02-18T09:44
18/2/13 at 12.05pm	2013-02-18T12:05
21/4/63	2063-04-21
14/9/2062	2062-09-14
3.13pm on 4/12/12	2012-12-04T15:13
7/2/62	2062-02-07
29/11/2007	2007-11-29
6/12/2063	2063-06-12
3.55pm on 10.04.13	2013-04-10T15:55
13.6.63	2063-06-13
7/11/2004	2004-07-11
18/03/2013 at 13:45	2013-03-18T13:45
15.8.63	2063-08-15
16:38pm on 18/3/13	2013-03-18T16:38
21.5.63	2063-05-21
15.8.63	2063-08-15
23/11/1994	1994-11-23
8/7/2063	2063-07-08
16.7.63	2063-07-16
today	2062-09-13
2.50pm on 6/5/13	2013-05-06T14:50
9/7/63	2063-07-09
16.7.63	2063-07-16
18/8/2014	2014-08-18
7/10/2063	2063-07-10
18/7/63	2063-07-18
today	2062-09-13
10:20am on 8.5.13	2013-05-08T10:20
7.11.63	2063-07-11
18/7/63	2063-07-18
3/11/2019	2019-11-03
21/03/2013 at 19:51	2013-03-21T19:51
2047	2047
24/5/63	2063-05-24
5/8/2063	2063-08-05
today	2062-09-13
30.7.63	2063-07-30
10/5/1994	1994-10-05
16/07/2013 at 08:26	2013-07-16T08:26
10.20 on 16.07.13	2013-07-16T10:20
19.9.63	2063-09-19
10/3/2006	2006-03-10
6/11/2063	2063-06-11
9.50 on 04.09.13	2013-09-04T09:50
7.11.63	2063-07-11
11/11/2010	2010-11-11
13/08/2013 at 18:01	2013-08-13T18:01
16/10/63	2063-10-16
30/6/1987	1987-06-30
7/4/2064	2064-04-07
8.4.64	2064-04-08
3/3/2018	2018-03-03
27/11/2012 at 16:38	2012-11-27T16:38
30/1/62	2062-01-30
8/2/1996	1996-08-02
12/5/2062	2062-12-05
12.4.62	2062-12-04
2/4/2025	2025-02-04
25.12.62	2062-12-25
21/12/2062	2062-12-21
4:26pm on 16.10.12	2012-10-16T16:26
19.12.62	2062-12-19
22/12/2007	2007-12-22
13/4/2064	2064-04-13
14.4.64	2064-04-14
22/12/2007	2007-12-22
13/4/2064	2064-04-13
14.4.64	2064-04-14
16/4/2064	2064-04-16
16/11/2004	2004-11-16
29.4.64	2064-04-29
25.3.64	2064-03-25
15.1.2014 at 11:12am	2014-01-15T11:12
11:27 am on the 14.1.2014	2014-01-14T11:27
18.3.64	2064-03-18
25.3.64	2064-03-25
29.4.64	2064-04-29
19/4/2064	2064-04-19
15.4.64	2064-04-15
27/4/2064	2064-04-27
27/4/64	2064-04-27
26/2/2037	2037-02-26
25/02/2014 at 10:25	2014-02-25T10:25
10:15am on 25/2/14	2014-02-25T10:15
29/4/2064	2064-04-29
5/11/1997	1997-05-11
22/4/64	2064-04-22
21/4/2064	2064-04-21
20.4.64	2064-04-20
7/3/1984	1984-07-03
19/02/2014 at 06:43	2014-02-19T06:43
23/4/2064	2064-04-23
6/12/1968	1968-12-06
13/02/2014 at 13:46	2014-02-13T13:46
16/4/64	2064-04-16
23/4/2064	2064-04-23
22.4.64	2064-04-22
27/9/2019	2019-09-27
14/02/2014 at 13:58	2014-02-14T13:28
19.4.64	2064-04-19
28/4/2064	2064-04-28
27.4.64	2064-04-27
25/5/2022	2022-05-25
27/4/2064	2064-04-27
12:53 on 25.2.2014	2014-02-25T12:53
28.4.64	2064-04-28
5/2/1992	1992-05-02
20/02/2014 at 16:42	2014-02-20T16:42
23.4.64	2064-04-23
23.4.64	2064-04-23
27/12/2013	2013-12-27
16/01/2014 at 10:23	2014-01-16T10:23
1017Hrs on 16.1.14	2014-01-16T10:17
23/3/64	2064-03-23
12/2/2001	2001-02-12
28/4/2064	2064-04-28
29/4/64	2064-04-29
19/2/1996	1996-02-19
13/02/2014 at 09:50	2014-02-13T09:50
20/4/64	2064-04-20
2/5/1992	1992-05-02
20/02/2014 at 16:42	2014-02-20T16:42
5.5.64	2064-05-05
23.4.64	2064-04-23
23.4.64	2064-04-23
5/6/2064	2064-05-06
30.4.64	2064-04-30
5/6/2064	2064-05-06
30.4.64	2064-04-30
9/4/2027	2027-04-09
4/4/2059	2059-04-04
14.01pm on 02.02.09	2009-02-02T14:01
15.00pm on 02.02.09	2009-02-02T15:00
5.4.59	2059-04-05
9/8/1987	1987-08-09
20/02/2014 at 14:18	2014-02-20T14:18
23.4.64	2064-04-23
26/7/1983	1983-07-26
25/02/2014 at 08:28	2014-02-25T08:28
28.4.64	2064-04-28
27/8/2024	2024-08-27
4/12/2064	2064-04-12
13.4.64	2064-04-13
5/11/1992	1992-11-05
10/02/2014 at 11:20	2014-02-10T11:20
13.4.64	2064-04-13
24/3/2008	2008-03-24
07/02/2014 at 15:23	2014-02-07T15:23
12.4.64	2064-04-12
21/4/64	2064-04-21
4/3/2003	2003-03-04
07/02/2014 at 14:20	2014-02-07T14:20
12.4.64	2064-04-12
2/4/2038	2038-02-04
4/8/2064	2064-04-08
4.9.64	2064-04-09
6/6/2002	2002-06-06
06/02/2014 at 09:20	2014-02-06T09:20
4.8.64	2064-04-08
7/4/2064	2064-04-07
19.12.63	2063-12-19
22/3/2014	2014-03-22
01/02/2014 at 16:33	2014-02-01T16:33
4.5.64	2064-04-05
1/9/2003	2003-09-01
30/01/2014 at 13:48	2014-01-30T13:48
3.3.64	2064-03-03
14/1/1984	1984-01-14
1/3/2064	2064-03-01
4.05pm	T16:05
4.05pm	T16:05
3.2.64	2064-03-02
3/3/2064	2064-03-03
3.2.64	2064-03-02
15/4/2064	2064-04-15
15.4.2064	2064-04-15
2.3.64	2064-03-02
15.4.2064	2064-04-15
3/2/2064	2064-03-02
3.1.64	2064-03-01
25/3/2040	2040-03-25
28/01/2014 at 14:23	2014-01-28T14:23
1/3/64	2064-03-01
4/12/2022	2022-04-12
26/3/2064	2064-03-26
0933 on the 24/1/14	2014-01-24T09:33
30.3.64	2064-03-30
27/2/2032	2032-02-27
29/3/2064	2064-03-29
art 11:10 on 27/1/14	2014-01-27T11:10
30/3/64	2064-03-30
13/11/1997	1997-11-13
23/01/2014 at 08:13	2014-01-23T08:13
1.3.64	2064-03-01
25/3/64	2064-03-25
1.3.64	2064-03-01
30/3/2064	2064-03-30
25.3.64	2064-03-25
6/12/2004	2004-12-06
22/01/2014 at 15:47	2014-01-22T15:47
14.4.64	2064-04-14
Oct 2063	2063-10
16:20 on 22.01.14	2014-01-22T16:20
23.3.64	2064-03-23
14.4.64	2064-04-14
10/3/1978	1978-10-03
24/3/2064	2064-03-24
24th of March 2064	2064-03-24
25.3.64	2064-03-25
28/2/2014	2014-02-28
23/3/2064	2064-03-23
19:55 on 21.01.14	2014-01-21T19:55
24.3.64	2064-03-24
26/3/2064	2064-03-26
17:10pm on 20.01.14	2014-01-20T17:10
25/3/64	2064-03-25
23.3.64	2064-03-23
20/12/1987	1987-12-20
19/01/2014 at 16:17	2014-01-19T16:17
22.3.64	2064-03-22
30/8/2003	2003-08-30
17/01/2014 at 08:56	2014-01-17T08:56
